Date,Quadrat,CONCAT,Healthy_Coral,Bleached_Coral,Dead_Coral,Active_WMS,Recessive_WMS,RCKilled_WMS,G_Elegans,Deg_G_Elegans,C_Sinuosa,E_Eisenia,P_Arborescens,U_Pinnatifida,Red_Alg,Sargassum_spp,Branched_Cor_Alg,Crust_Cor_Alg,Non_Crust_Alg,Alg_Other,Bare_Sub,Off,Urchin,Anemone,Crustacean,SA_WMS,SA_PH,WMS_Prevalence
2020-03-23,7,439137,3,0,0,0,0,0,0,0,0,0,0,0,0,37,1,10,8,3,2,0,0,0,0,,,
2020-03-23,8,439138,4,0,0,0,0,0,0,0,2,0,0,0,0,37,1,5,4,4,0,0,0,7,0,,,
2020-03-23,9,439139,9,0,0,0,0,0,0,0,0,0,0,0,0,41,2,5,6,1,0,0,0,0,0,,,
2020-03-23,10,4391310,17,0,0,0,0,0,2,0,0,0,0,0,0,23,1,5,7,8,1,0,0,0,0,,,
2020-07-16,1,440281,5,0,0,0,0,0,1,0,0,0,0,0,0,6,6,6,9,16,14,1,0,0,0,,,
2020-07-16,2,440282,6,0,0,0,0,0,0,1,0,0,0,0,0,9,3,20,3,14,8,0,0,0,0,,,
2020-07-16,3,440283,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,12,18,16,0,0,3,0,,,
2020-07-16,4,440284,12,0,0,0,0,0,0,0,0,0,0,0,0,20,1,9,8,9,5,0,0,0,0,,,
2020-07-16,5,440285,17,0,0,0,0,0,0,0,0,0,0,0,0,4,1,18,10,11,3,0,0,0,0,,,
2020-07-16,6,440286,12,0,0,0,0,0,9,0,0,0,0,0,0,0,9,7,10,12,5,0,0,0,0,,,
2020-07-16,7,440287,3,0,0,0,0,0,0,0,0,0,0,0,0,6,6,8,10,16,14,1,0,0,0,,,
2020-07-16,8,440288,19,0,0,0,0,0,6,0,0,0,0,0,0,2,14,13,0,6,4,0,0,0,0,,,
2020-07-16,9,440289,15,0,0,0,0,0,7,0,0,0,0,0,0,2,14,6,4,9,7,0,0,0,0,,,
2020-07-16,10,4402810,24,0,0,0,0,0,0,2,0,0,0,0,0,0,2,18,2,11,5,0,0,0,0,,,
2020-08-19,1,440621,3,0,0,0,0,0,0,0,0,0,0,0,0,0,19,4,8,13,17,0,0,0,0,,,
2020-08-19,2,440622,16,0,0,0,0,0,0,0,0,1,0,0,0,0,2,12,5,13,14,1,0,0,0,,,
2020-08-19,3,440623,17,0,0,0,0,0,1,3,0,0,0,0,0,0,13,5,2,10,13,0,0,0,0,,,
2020-08-19,4,440624,15,0,1,0,0,0,10,0,0,0,0,0,0,1,5,3,3,4,22,0,0,0,0,,,
2020-08-19,5,440625,21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,4,11,16,0,0,0,0,,,
2020-08-19,6,440626,10,0,0,0,0,0,4,0,0,0,0,0,0,0,8,8,0,9,25,0,0,0,0,,,
2020-08-19,7,440627,3,0,0,0,0,0,2,0,0,0,0,0,0,0,4,21,0,12,22,0,0,0,0,,,
2020-08-19,8,440628,8,0,0,0,0,0,16,0,0,0,0,0,0,1,1,1,0,10,26,0,0,1,0,,,
2020-08-19,9,440629,8,0,0,0,0,0,8,0,0,0,0,0,0,0,11,7,5,9,16,0,0,0,0,,,
2020-08-19,10,4406210,19,0,1,0,0,0,0,0,0,0,0,0,0,0,7,6,4,10,17,0,0,0,0,,,
2020-09-15,1,440891,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,9,9,31,1,0,0,0,,,
2020-09-15,2,440892,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,3,15,17,2,0,0,0,,,
2020-09-15,3,440893,13,0,0,0,0,0,1,2,0,0,0,0,0,0,11,8,6,8,15,0,0,0,0,,,
2020-09-15,4,440894,15,0,0,0,0,0,0,7,0,0,0,0,0,0,5,11,8,5,13,0,0,0,0,,,
2020-09-15,5,440895,17,0,2,0,0,0,0,0,0,0,0,0,0,0,0,12,7,11,15,0,0,0,0,,,
2020-09-15,6,440896,9,0,0,0,0,0,2,0,0,0,0,0,0,0,4,8,0,18,23,0,0,0,0,,,
2020-09-15,7,440897,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16,2,17,20,1,0,0,0,,,
2020-09-15,8,440898,6,0,0,0,0,0,5,0,0,0,0,0,0,0,5,4,2,15,21,1,0,5,0,,,
2020-09-15,9,440899,9,0,0,0,0,0,5,0,0,0,0,0,0,1,8,10,5,7,17,1,0,1,0,,,
2020-09-15,10,4408910,19,0,0,0,0,0,1,0,0,0,0,0,0,0,4,5,6,15,14,0,0,0,0,,,
2020-10-26,1,441301,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,3,13,36,0,0,0,0,,,
2020-10-26,2,441302,5,0,0,0,0,0,0,1,0,0,0,0,0,0,6,3,2,10,35,0,0,2,0,,,
2020-10-26,3,441303,15,0,0,0,0,0,0,0,0,0,0,0,0,0,12,5,1,13,18,0,0,0,0,,,
2020-10-26,4,441304,13,0,0,0,0,0,2,0,0,0,0,0,0,0,7,4,6,12,20,0,0,0,0,,,
2020-10-26,5,441305,6,0,0,0,0,0,0,1,0,0,0,0,0,0,3,5,1,18,27,0,0,3,0,,,
2020-10-26,6,441306,11,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,1,14,29,0,0,0,0,,,
2020-10-26,7,441307,9,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0,16,23,0,0,1,0,,,
2020-10-26,8,441308,20,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,3,9,21,0,0,0,0,,,
2020-10-26,9,441309,13,0,1,0,0,0,0,0,0,0,0,0,0,0,4,9,0,27,9,1,0,0,0,,,
2020-10-26,10,4413010,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,2,18,32,0,0,0,0,,,
2020-11-18,1,441531,1,0,1,0,0,0,0,0,0,0,0,0,0,0,7,9,9,8,29,0,0,0,0,,,
2020-11-18,2,441532,17,0,0,0,0,0,0,0,0,0,0,0,0,0,11,10,2,12,12,0,0,0,0,,,
2020-11-18,3,441533,20,0,0,0,0,0,1,0,0,0,0,0,0,0,8,3,4,9,19,0,0,0,0,,,
2020-11-18,4,441534,15,0,0,0,0,0,3,0,0,0,0,0,0,0,6,14,3,10,13,0,0,0,0,,,
2020-11-18,5,441535,23,0,0,0,0,0,0,0,0,0,0,0,0,0,2,16,1,7,15,0,0,0,0,,,
2020-11-18,6,441536,11,0,0,0,0,0,0,0,0,0,0,0,0,0,9,14,1,4,25,0,0,0,0,,,
2020-11-18,7,441537,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,13,4,8,31,0,0,0,0,,,
2020-11-18,8,441538,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,1,9,33,0,0,1,0,,,
2020-11-18,9,441539,8,0,1,0,0,0,0,0,0,0,0,0,0,0,12,10,4,7,20,1,0,1,0,,,
2020-11-18,10,4415310,15,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,9,12,15,0,0,0,0,,,
2020-12-10,1,441751,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,9,9,27,0,0,0,0,,,
2020-12-10,2,441752,17,0,0,0,0,0,1,0,0,0,0,0,0,0,4,24,2,9,7,0,0,0,0,,,
2020-12-10,3,441753,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,38,6,0,0,0,0,,,
2020-12-10,4,441754,18,0,0,0,0,0,0,0,0,0,0,0,0,0,4,14,3,17,8,0,0,0,0,,,
2020-12-10,5,441755,24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1,23,7,0,0,0,0,,,
2020-12-10,6,441756,12,0,0,0,0,0,0,0,0,0,0,0,0,0,4,25,1,2,20,0,0,0,0,,,
2020-12-10,7,441757,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,1,14,21,0,0,0,0,,,
2020-12-10,8,441758,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,3,7,37,0,0,0,0,,,
2020-12-10,9,441759,10,0,0,0,0,0,0,0,0,0,0,0,0,0,7,21,8,2,15,0,0,1,0,,,
2020-12-10,10,4417510,15,0,0,0,0,0,1,0,0,0,0,0,0,0,4,9,4,11,18,2,0,0,0,,,
