Phylum,Class,Order,Family,Genus
TAXA39,Proteobacteria,Deltaproteobacteria,SAR324 clade(Marine group B),SAR324 clade(Marine group B),SAR324 clade(Marine group B)
TAXA40,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulfocella
TAXA41,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Maritimibacter
TAXA42,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Vallitalea
TAXA43,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Tenacibaculum
TAXA44,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Cohaesibacter
TAXA45,Spirochaetae,Spirochaetes,Spirochaetales,Spirochaetaceae,Spirochaeta 2
TAXA46,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio
TAXA47,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Neiella
TAXA48,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Lutimonas
TAXA49,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacteriaceae
TAXA50,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Kordia
TAXA51,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Tenacibaculum
TAXA52,Actinobacteria,Acidimicrobiia,Acidimicrobiales,OM1 clade,Candidatus Actinomarina
TAXA53,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Desulfofaba
TAXA54,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Oleibacter
TAXA55,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Synechococcus
TAXA56,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Thalassotalea
TAXA57,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacteriaceae
TAXA58,Lentisphaerae,Oligosphaeria,P.palmC41,P.palmC41,P.palmC41
TAXA59,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Desulfuromonadaceae,Desulfuromusa
TAXA60,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,Pseudoteredinibacter
TAXA61,Fibrobacteres,Chitinivibrionia,possible order 07,possible order 07,possible order 07
TAXA62,Firmicutes,Clostridia,Clostridiales,Family XIII,Family XIII
TAXA63,Proteobacteria,Gammaproteobacteria,Thiotrichales,Thiotrichaceae,Thiothrix
TAXA64,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Desulfovibrio
TAXA65,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Rhodospirillaceae
TAXA66,Cyanobacteria,Cyanobacteria,SubsectionII,FamilyII,Pleurocapsa
TAXA67,Cyanobacteria,Cyanobacteria,SubsectionII,FamilyII,Pleurocapsa
TAXA68,Proteobacteria,Gammaproteobacteria,Chromatiales,Granulosicoccaceae,Granulosicoccus
TAXA69,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Pseudahrensia
TAXA70,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Maribacter
TAXA71,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Sva0996 marine group,Sva0996 marine group
TAXA72,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,FamilyI
TAXA73,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Aquimarina
TAXA74,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Phyllobacteriaceae
TAXA75,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Loktanella
TAXA76,Cyanobacteria,Cyanobacteria,SubsectionIII,FamilyI,Oscillatoria
TAXA77,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Sulfitobacter
TAXA78,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Sva0996 marine group,Sva0996 marine group
TAXA79,Cyanobacteria,Cyanobacteria,SubsectionIII,FamilyI,Phormidium
TAXA80,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Saprospiraceae,Saprospiraceae
TAXA81,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Aquimarina
TAXA82,Deinococcus-Thermus,Deinococci,Deinococcales,Trueperaceae,Truepera
TAXA83,Proteobacteria,Gammaproteobacteria,Arenicellales,Arenicellaceae,Arenicella
TAXA84,Cyanobacteria,Cyanobacteria,SubsectionIII,FamilyI,Trichodesmium
TAXA85,Cyanobacteria,Cyanobacteria,SubsectionIII,FamilyI,Oscillatoria
TAXA86,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,Hellea
TAXA87,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Erythrobacter
TAXA116,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Acidimicrobiales,Acidimicrobiales
TAXA237,Proteobacteria,Deltaproteobacteria,Myxococcales,P3OB-42,P3OB-42
TAXA238,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Filomicrobium
TAXA239,Planctomycetes,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,Phycisphaeraceae
TAXA240,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Rhodospirillaceae
TAXA241,Proteobacteria,Alphaproteobacteria,Rhizobiales,OCS116 clade,OCS116 clade
TAXA242,Proteobacteria,Gammaproteobacteria,Xanthomonadales,JTB255 marine benthic group,JTB255 marine benthic group
TAXA243,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Rhodospirillaceae
TAXA244,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Rhodospirillaceae
TAXA245,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillales,Rhodospirillales
TAXA246,Nitrospirae,Nitrospira,Nitrospirales,Nitrospiraceae,Nitrospira
TAXA247,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Oricola
TAXA248,Nitrospirae,Nitrospira,Nitrospirales,Nitrospiraceae,Nitrospira
TAXA249,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Phyllobacteriaceae
TAXA250,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Rhodospirillaceae
TAXA251,Thaumarchaeota,Marine Group I,Unknown Order,Unknown Family,Candidatus Nitrosopumilus
TAXA252,Lentisphaerae,Lentisphaeria,Victivallales,Arctic95B-14,Arctic95B-14
TAXA253,Nitrospinae,Nitrospinia,Nitrospinales,Nitrospinaceae,Nitrospina
TAXA254,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Rhodospirillaceae
TAXA255,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Blastopirellula
TAXA256,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiales,Rhizobiales
TAXA257,Proteobacteria,Gammaproteobacteria,Chromatiales,Granulosicoccaceae,Granulosicoccus
TAXA278,Proteobacteria,Gammaproteobacteria,BD7-8 marine group,Ambiguous_taxa,Ambiguous_taxa
TAXA268,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria,Gammaproteobacteria
TAXA279,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Tistlia
TAXA281,Proteobacteria,Alphaproteobacteria,Rhodospirillales,MSB-1E8,MSB-1E8
TAXA300,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Dinoroseobacter
TAXA323,Nitrospirae,Nitrospira,Nitrospirales,Nitrospiraceae,Nitrospira
TAXA339,Proteobacteria,Deltaproteobacteria,Myxococcales,Sandaracinaceae,Sandaracinaceae
TAXA372,Proteobacteria,Gammaproteobacteria,Thiotrichales,Thiotrichaceae,Thiotrichaceae
TAXA410,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Sva0081 sediment group
TAXA411,Proteobacteria,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae,Thiogranum
TAXA412,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulfobulbaceae
TAXA413,Proteobacteria,Proteobacteria Incertae Sedis,Proteobacteria Incertae Sedis,Proteobacteria Incertae Sedis,Candidatus Thiobios
TAXA414,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulfobulbaceae
TAXA415,Proteobacteria,Gammaproteobacteria,Alteromonadales,Ferrimonadaceae,Ferrimonas
TAXA416,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Flammeovirgaceae
TAXA417,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria Incertae Sedis,Unknown Family,Thiohalophilus
TAXA418,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Sva0996 marine group,Sva0996 marine group
TAXA419,Actinobacteria,Acidimicrobiia,Acidimicrobiales,OM1 clade,OM1 clade
TAXA420,Cyanobacteria,Cyanobacteria,SubsectionII,FamilyII,Pleurocapsa
TAXA421,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulfurivibrio
TAXA422,Proteobacteria,Deltaproteobacteria,Desulfobacterales,Desulfobacteraceae,Sva0081 sediment group
TAXA423,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Propionigenium
TAXA424,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Aquibacter
TAXA425,Proteobacteria,Gammaproteobacteria,Arenicellales,Arenicellaceae,Arenicellaceae
TAXA426,Proteobacteria,Gammaproteobacteria,Alteromonadales,Psychromonadaceae,Psychromonas
TAXA427,Proteobacteria,Gammaproteobacteria,BD7-8 marine group,BD7-8 marine group,BD7-8 marine group
TAXA428,Actinobacteria,Acidimicrobiia,Acidimicrobiales,OM1 clade,OM1 clade
TAXA429,Actinobacteria,Acidimicrobiia,Acidimicrobiales,OM1 clade,OM1 clade
